tt1907668,Flight
tt1385826,The Adjustment Bureau
tt1010048,Slumdog Millionaire
tt0097576,Indiana Jones and the Last Crusade
tt1285016,The Social Network
tt0119822,As Good as It Gets
tt4976086,百团大战
tt0100405,Pretty Woman
tt0286106,Signs
tt1632708,Friends with Benefits
tt1699513,建党伟业
tt1772230,辛亥革命
tt1499658,Horrible Bosses
tt0790636,Dallas Buyers Club
tt0106918,The Firm
tt0147800,10 Things I Hate About You
tt0167404,The Sixth Sense
tt0118842,Chasing Amy
tt0109831,Four Weddings and a Funeral
tt1798709,Her
tt0146882,High Fidelity
tt1045658,Silver Linings Playbook
tt0073486,One Flew Over the Cuckoos Nest
tt1568346,The Girl with the Dragon Tattoo
tt0241527,Harry Potter and the Sorcerer's Stone
tt1438461,建国大业
tt0116695,Jerry Maguire
tt0109830,Forrest Gump
tt1193138,Up in the Air
tt0822832,Marley and Me
tt7185492,建军大业
tt1013753,Milk
tt0467406,Juno
tt0988595,27 Dresses
tt0970416,The Day the Earth Stood Still
tt2267998,Gone Girl
tt0455824,Australia
tt1189340,The Lincoln Lawyer
tt0317198,Bridget Jones: The Edge of Reason
tt0388795,Brokeback Mountain
tt0240772,Oceans Eleven
tt0108160,Sleepless in Seattle
tt0110912,Pulp Fiction
tt1454029,The Help
tt0118715,The Big Lebowski
tt1142988,The Ugly Truth
tt0085703,火烧圆明园
tt0212338,Meet the Parents
